age,account_balance,income,loan,credit_card_usage,tenure_years,has_mobile_app,engaged
60,57115,109164,yes,0.1809746972097731,4,yes,0
57,48221,38277,yes,0.5584219707463862,6,yes,1
18,19204,47223,yes,0.28935871774677036,4,yes,0
38,11552,122949,no,0.9609500511888622,9,no,0
41,45276,73179,no,0.5109024475361736,1,no,0
32,34007,75697,yes,0.6461690341300877,4,no,0
67,2679,66378,no,0.4843710084242646,9,no,1
33,49852,31700,no,0.6689751042201851,2,yes,0
59,26318,47330,no,0.540828086689683,1,yes,0
42,35916,53926,no,0.8745013865875687,3,yes,0
18,69366,136190,no,0.9866095126971712,6,yes,1
44,89010,88579,no,0.9404659343595245,4,no,0
55,97020,77742,no,0.1938946661232224,7,yes,1
59,39183,56256,no,0.9680506776176889,2,no,0
42,54071,99764,yes,0.42516960145758076,3,no,1
46,41921,94436,no,0.7493638143389227,2,yes,1
21,47726,107575,yes,0.6596720966683628,1,no,0
29,81354,113153,yes,0.7117429249184606,4,no,0
51,16369,131847,no,0.8703096286472282,2,no,0
53,81297,92171,yes,0.7373926877660723,9,yes,0
38,99217,97463,yes,0.9092430336683404,5,no,0
34,10020,89891,no,0.22021412981033336,3,yes,0
43,89974,51498,yes,0.8305707992042002,9,yes,0
21,22394,83019,no,0.4383178818474758,3,no,1
67,25580,109132,no,0.8496968647602432,2,no,0
68,75620,112861,yes,0.6109126979862238,7,yes,0
27,63209,112346,no,0.8551664521510047,3,yes,0
69,599,105811,no,0.5581628393357019,1,no,1
50,62226,134094,yes,0.308020262240164,1,no,0
34,48817,93492,no,0.5875971925434651,4,no,0
66,71900,78441,yes,0.1916176476574064,3,no,1
45,7147,77115,no,0.9433717200430435,9,no,0
63,38693,48979,yes,0.4927953612482713,7,no,1
28,34950,46373,no,0.7189831582149284,3,no,0
40,79920,66445,yes,0.5801094215290138,1,no,1
44,11639,106413,yes,0.9673758894256221,3,no,0
22,71638,68222,yes,0.31601203140608114,8,no,0
63,26850,49914,no,0.6978690887574146,8,no,0
21,47807,77823,no,0.6123974579093042,4,no,0
68,25203,62123,yes,0.38027810669543616,9,yes,1
64,97594,24774,no,0.8506486133170476,4,no,0
33,66021,102412,yes,0.9126511732227486,5,no,0
26,31508,138132,no,0.9249306726687697,2,yes,0
42,3842,135545,yes,0.831622597531931,6,yes,0
39,68986,91798,no,0.18990296711347954,4,no,1
59,77528,46160,yes,0.19890922083883023,4,yes,0
46,83141,106251,no,0.4532712700764787,3,no,0
42,63803,67579,no,0.8582022790474986,9,no,1
53,91,53215,yes,0.7787798057687317,9,no,0
49,49152,44945,yes,0.6912936640406362,3,yes,0
21,94678,73538,yes,0.7129141730711561,3,no,1
64,57167,134222,no,0.4506454732489442,8,no,0
38,11779,51487,no,0.9946621093840863,2,no,0
55,88916,54254,yes,0.12889768744804575,1,yes,1
44,81185,102793,yes,0.27267242735798913,4,no,0
41,82821,90321,yes,0.2004365753913256,2,no,0
66,52384,50511,no,0.3729476712955696,6,yes,0
27,41126,23466,yes,0.4807491016826222,8,yes,1
28,39803,97124,no,0.9353792094317088,9,no,0
61,2976,70594,no,0.6036400782509792,6,no,0
48,21815,69926,yes,0.7252337018451238,9,no,1
66,6569,22708,yes,0.529981406231035,5,no,0
64,23019,63147,no,0.5225802514056168,9,yes,1
69,77806,34406,no,0.692977786581549,2,no,1
18,44507,136515,yes,0.5186440677652047,1,yes,1
48,51590,104671,yes,0.53920248276838,5,no,1
58,59584,115553,yes,0.5975133376706977,8,yes,0
36,26282,25550,yes,0.4317505693584678,8,no,0
62,25404,89850,no,0.22420575399188897,1,yes,0
45,55726,144398,no,0.7059999741486098,1,no,1
44,69174,131816,yes,0.48170345700919437,3,no,1
56,80761,53271,yes,0.4223183943510289,9,no,0
29,47360,130302,yes,0.2593324180296668,2,yes,0
68,28730,136073,yes,0.25014349182987994,4,no,0
54,23368,44334,yes,0.8747235523307322,4,yes,0
63,73223,135004,yes,0.8093067351073832,4,no,1
34,93564,130556,yes,0.9586854894687721,3,yes,1
46,5818,126028,no,0.7149015413428479,1,yes,1
38,12264,135038,yes,0.760751030758547,5,no,0
57,78035,72685,yes,0.5919350098631628,3,yes,0
22,28025,118811,yes,0.25283168646717563,7,yes,1
